zone_identity,region_code,initial_value,final_value
0,S12000038,179100.000683684,185596.230900784
1,S12000045,108640.000563395,114864.988735185
2,S12000029,320530.000494459,330034.667224057
3,S12000018,73113.323167157,69844.371684805
4,S12000011,95530.000501754,103270.291838516
5,S12000039,88929.99935648,87992.360790262
6,S12000049,633120.002726495,649763.742047528
7,S12000050,341370.001779373,344749.715860813
